City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
462,Yen Bai,VN,61.79,overcast clouds,21.7,104.8667,Vien Thanh
465,Xuanzhou,CN,45.39,clear sky,30.9525,118.7553,敬亭湖宾馆
466,Beibei,CN,51.37,overcast clouds,29.8256,106.4339,桂园宾馆
468,Half Moon Bay,US,53.4,clear sky,37.4636,-122.4286,Quality Inn
469,Roma,US,59.72,few clouds,43.2128,-75.4557,Wingate by Wyndham Rome
471,Finote Selam,ET,58.24,broken clouds,10.7,37.2667,አባይ ፔንሲዮን
472,Ambunti,PG,79.92,overcast clouds,-4.2365,142.8448,No hotel found
474,Ponta Do Sol,PT,59.0,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
476,Los Llanos De Aridane,ES,53.35,broken clouds,28.6585,-17.9182,Apartamentos Atlantis
477,Tondano,ID,77.09,overcast clouds,1.3038,124.9112,No hotel found
478,Birin,NP,54.64,broken clouds,26.8865,88.0718,Hotel Mandala
480,Virginia Beach,US,68.02,scattered clouds,36.8529,-75.978,Hampton Inn - Virginia Beach Oceanfront North
481,Merauke,ID,83.3,overcast clouds,-8.4667,140.3333,No hotel found
482,Caucaia,BR,81.03,broken clouds,-3.7361,-38.6531,No hotel found
484,Ardakan,IR,46.94,overcast clouds,32.31,54.0175,هتل جهانگردی اردکان
485,Idukki,IN,61.88,clear sky,9.85,76.9667,SRM Residency
487,Mazara Del Vallo,IT,48.94,clear sky,37.6641,12.588,D'Angelo Palace
