City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
143,Yellowknife,CA,62.456,-114.3525,-27.47,100,29,4.74,scattered clouds
144,Gat,IL,31.61,34.7642,48.88,100,56,4.0,broken clouds
145,Muroto,JP,33.2833,134.15,42.21,51,4,0.54,clear sky
146,Samarai,PG,-10.6167,150.6667,84.78,72,45,14.18,scattered clouds
147,Mehamn,NO,71.0357,27.8492,31.95,80,59,12.66,broken clouds
148,Kyren,RU,51.6828,102.1408,3.87,84,79,1.07,broken clouds
149,Kokstad,ZA,-30.5472,29.4241,57.9,88,100,3.09,light rain
150,Acajutla,SV,13.5928,-89.8275,77.34,77,0,6.91,clear sky
151,Nchelenge,ZM,-9.3451,28.734,69.39,90,100,2.13,light rain
152,Lorengau,PG,-2.0226,147.2712,82.53,74,100,4.97,light rain
153,Katsuura,JP,35.1333,140.3,42.82,52,44,13.02,scattered clouds
154,Khatanga,RU,71.9667,102.5,3.94,96,100,11.25,light snow
155,Altay,CN,47.8667,88.1167,19.17,91,100,0.76,light snow
156,Port Blair,IN,11.6667,92.75,80.64,74,40,6.91,haze
157,Pisco,PE,-13.7,-76.2167,73.45,94,20,4.61,mist
158,Marawi,PH,7.9986,124.2928,74.05,75,100,4.61,overcast clouds
159,Ponta Delgada,PT,37.7333,-25.6667,56.12,76,75,2.3,broken clouds
160,Pangnirtung,CA,66.1451,-65.7125,-19.34,100,100,2.42,overcast clouds
161,Parsabad,IR,39.6482,47.9174,32.32,64,0,4.61,clear sky
162,Grand Forks,US,47.9417,-97.4337,1.33,78,75,6.91,broken clouds
163,Upata,VE,8.0086,-62.3989,73.18,93,63,3.94,broken clouds
164,Ruidoso,US,33.3317,-105.673,25.27,35,59,11.5,broken clouds
165,Saint George,US,37.1041,-113.5841,36.95,39,0,9.22,clear sky
166,Buraydah,SA,26.326,43.975,48.65,42,98,9.98,overcast clouds
167,Bousso,TD,10.4795,16.7117,69.73,21,7,11.48,clear sky
168,Barddhaman,IN,23.25,87.85,65.07,51,0,1.63,clear sky
169,Cayenne,GF,4.9333,-52.3333,77.04,94,75,1.14,broken clouds
170,Pineville,US,31.3224,-92.4343,73.29,89,100,14.97,overcast clouds
171,Saint Anthony,US,45.0205,-93.218,23.25,78,0,12.66,clear sky
172,Cidreira,BR,-30.1811,-50.2056,74.34,90,16,8.19,few clouds
173,Bluff,NZ,-46.6,168.3333,58.8,69,100,8.05,overcast clouds
174,Mallaig,CA,54.2169,-111.3685,8.89,100,61,4.72,broken clouds
175,Provideniya,RU,64.3833,-173.3,-12.89,64,40,13.42,scattered clouds
176,Hilo,US,19.7297,-155.09,72.63,92,100,8.99,light rain
177,Belle Glade,US,26.6845,-80.6676,72.05,71,0,10.2,clear sky
178,Coquimbo,CL,-29.9533,-71.3436,60.53,94,20,6.91,few clouds
179,Slonim,BY,53.0867,25.3219,34.11,91,100,4.14,overcast clouds
180,Ulaanbaatar,MN,47.9077,106.8832,-11.07,77,27,2.24,smoke
181,Komsomolskiy,UZ,40.4272,71.7189,36.32,93,100,0.0,light rain
182,Isangel,VU,-19.55,169.2667,80.51,68,100,14.09,overcast clouds
183,Lompoc,US,34.6391,-120.4579,51.01,58,0,1.01,clear sky
184,Paragominas,BR,-2.9667,-47.4833,73.11,98,100,3.38,overcast clouds
185,Saint-Augustin,CA,51.226,-58.6502,22.93,92,100,9.55,overcast clouds
186,Nantucket,US,41.2835,-70.0995,49.14,93,0,14.97,clear sky
187,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,37,8.97,scattered clouds
188,Yambio,SS,4.5721,28.3955,68.27,36,89,4.0,overcast clouds
189,Port Lincoln,AU,-34.7333,135.8667,90.61,24,5,20.07,clear sky
190,Clyde River,CA,70.4692,-68.5914,-23.57,69,100,18.41,light snow
191,Port Hardy,CA,50.6996,-127.4199,39.87,83,100,19.24,light rain
192,Saldanha,ZA,-33.0117,17.9442,64.45,89,0,10.67,clear sky
193,Ust-Tsilma,RU,65.441,52.1498,12.88,92,100,7.02,overcast clouds
194,Bengkulu,ID,-3.8004,102.2655,78.58,78,100,2.62,overcast clouds
195,Ferrol,ES,43.4832,-8.2369,50.34,91,100,4.65,overcast clouds
196,Mount Pleasant,US,32.7941,-79.8626,65.12,88,100,0.0,overcast clouds
197,Tres Arroyos,AR,-38.3739,-60.2798,55.65,74,4,6.49,clear sky
198,Grants Pass,US,42.439,-123.3284,45.91,65,0,0.0,clear sky
199,Chornoliztsi,UA,48.8303,24.8958,29.71,86,86,3.74,overcast clouds
200,Doha,QA,25.2867,51.5333,66.18,82,75,17.27,broken clouds
201,Lamu,KE,-2.2717,40.902,75.7,88,70,9.84,broken clouds
202,Indramayu,ID,-6.3264,108.32,79.72,78,100,15.21,overcast clouds
203,Cururupu,BR,-1.8283,-44.8683,75.29,95,100,2.62,moderate rain
204,Kaitangata,NZ,-46.2817,169.8464,60.55,70,100,7.07,overcast clouds
205,Three Hills,CA,51.7001,-113.2686,21.27,81,97,1.99,overcast clouds
206,Gondar,ET,12.6,37.4667,57.29,56,10,4.72,clear sky
207,Dudinka,RU,69.4058,86.1778,1.62,95,100,14.43,light snow
208,Tuatapere,NZ,-46.1333,167.6833,66.52,56,91,6.29,overcast clouds
209,Mahebourg,MU,-20.4081,57.7,74.25,94,75,3.44,light intensity shower rain
210,Bell Ville,AR,-32.6259,-62.6887,74.66,57,0,2.98,light rain
211,Byron Bay,AU,-28.65,153.6167,79.95,52,1,7.72,clear sky
212,Kodiak,US,57.79,-152.4072,24.31,46,0,10.36,clear sky
213,Fortuna,US,40.5982,-124.1573,45.66,70,0,0.0,clear sky
214,Imbituba,BR,-28.24,-48.6703,73.42,90,100,4.41,overcast clouds
215,Sao Simao,BR,-21.4792,-47.5508,70.25,96,100,2.37,moderate rain
216,Geraldton,AU,-28.7667,114.6,77.41,53,40,13.8,scattered clouds
217,Mar Del Plata,AR,-38.0023,-57.5575,67.08,67,0,12.66,clear sky
218,Baruun-Urt,MN,46.6806,113.2792,7.92,87,18,5.19,few clouds
219,Beni Suef,EG,29.0731,31.0979,48.31,67,14,4.09,few clouds
220,Saint-Raymond,CA,45.467,-73.6095,52.14,79,100,12.66,overcast clouds
221,Raduzhnyy,RU,62.0961,77.475,7.74,96,96,7.85,overcast clouds
222,Dikson,RU,73.5069,80.5464,-1.39,96,100,23.44,light snow
223,Ayagoz,KZ,47.9714,80.4392,-6.83,100,92,4.7,overcast clouds
224,Bahia Honda,CU,22.9036,-83.1592,70.5,82,0,5.32,clear sky
225,Kariba,ZW,-16.5167,28.8,70.57,92,100,3.96,overcast clouds
226,Kruisfontein,ZA,-34.0033,24.7314,64.18,89,60,5.48,broken clouds
227,Todos Santos,MX,23.45,-110.2167,63.66,80,100,11.43,overcast clouds
228,Marquette,US,46.5333,-87.6335,20.64,83,100,11.01,overcast clouds
229,Ulaangom,MN,49.9811,92.0667,-17.34,95,99,2.19,overcast clouds
230,Morinville,CA,53.8001,-113.652,18.88,86,40,2.3,scattered clouds
231,Mount Isa,AU,-20.7333,139.5,80.37,61,100,14.97,overcast clouds
232,Pitimbu,BR,-7.4706,-34.8086,81.19,80,78,9.28,broken clouds
233,Las Margaritas,MX,16.3167,-91.9833,59.02,88,0,3.09,clear sky
234,Porto Real,BR,-22.4197,-44.2903,71.83,95,100,2.55,light rain
235,Westerly,US,41.3776,-71.8273,52.25,85,0,8.05,clear sky
236,Hokitika,NZ,-42.7167,170.9667,70.34,49,6,11.77,clear sky
237,Rincon,US,32.296,-81.2354,62.85,77,0,4.61,clear sky
238,Ancud,CL,-41.8697,-73.8203,49.66,68,14,10.02,few clouds
239,Itarema,BR,-2.9248,-39.9167,77.95,85,95,8.05,overcast clouds
240,San Nicolas,PH,18.1725,120.5953,82.31,51,20,14.97,few clouds
241,Burewala,PK,30.1667,72.65,61.03,29,100,3.49,overcast clouds
